Dates,SP500,Cons Disc,Cons Staples,Energy,Financials,Health,Industrials,Info Tech,Materials,Telecom,Utilities
7/1/1991,0.018070791,0.019018892,0.019846296,0.019839928,0.013855596,0.02301533,0.016231687,0.013910359,0.017829666,0.019959083,0.010777226
7/2/1991,-0.001193052,0.003042879,0.002181026,-0.012637015,-0.004959713,0.001220121,-0.001218439,-0.003597904,0.005113036,-0.002060582,-0.000645953
7/3/1991,-0.010612738,-0.009295939,-0.008066214,-0.018426088,-0.014555386,-0.010698865,-0.011444267,-0.010321804,-0.006057769,-0.006760978,-0.007523709
7/5/1991,0.002174068,0.002227793,0.001097544,-0.000513149,0.005189099,0.005809423,0.002463393,0.0050843,0.003100778,-0.003189353,0.001431267
7/8/1991,0.010286127,0.014223812,0.011858655,0.015786451,0.007811319,0.007435804,0.007896569,0.022157694,0.004700203,0.003881347,0.004152076
7/9/1991,-0.004754163,-0.002196295,-0.006934558,-0.00913596,0.004502764,-0.007881486,-0.004349015,-0.002558465,-0.003892884,-0.007359611,-0.004932513
7/10/1991,-0.000986448,-0.000274876,-0.004512828,0.000764526,0.002784655,-0.000111452,-0.000953873,-0.002310514,-0.002828475,0.000278707,-0.00247541
7/11/1991,0.003260962,0.006712814,0.002190581,0.004194477,0.000617761,0.000779901,0.003130745,-0.003296918,0.003635144,0.006250454,0.005723221
7/12/1991,0.008675225,0.007210425,0.014527443,0.017601661,0.012123221,0.008980603,0.000271776,0.009605473,0.008164403,-0.001246969,0.007751977
7/15/1991,0.005788125,0.004058447,0.008188515,0.008809536,0.022323702,0.007696575,0.00013586,0.007990511,0.001065814,-0.005421574,0.003084043
7/16/1991,-0.002195543,-0.001621403,-0.002677378,0.007139371,-0.000596837,-0.001534583,-0.001223408,-0.017271916,-0.000532765,-0.011354997,-0.002440749
7/17/1991,-0.000902726,-0.001894965,-0.007264932,0.018351369,-0.002540538,-0.001097574,-0.007235033,-0.005638757,-0.003603608,-0.000282008,0.003210276
7/18/1991,0.010939642,0.005943554,0.012879169,0.007677581,0.012343082,0.009182399,0.014823145,0.015216912,0.009845742,0.014976835,0.00842594
7/19/1991,-0.002982132,-0.002697237,-0.006553016,-0.000358573,-0.005186349,-0.003815758,-0.002974181,0.008968319,-0.003979841,-0.003618654,-0.005481561
7/22/1991,-0.003405904,-0.006775094,-0.004437579,-0.002993118,-0.009703741,-0.002186988,-0.001083717,-0.001391736,-0.001862693,-0.001953943,0.001532763
7/23/1991,-0.009077498,-0.009700192,-0.007983264,-0.015832103,-0.005415176,-0.011228652,-0.010354316,-0.014802282,-0.005608989,-0.00237779,-0.001660599
7/24/1991,-0.002025871,-0.006888028,0.002713338,-0.000731172,-0.005596324,0.004308209,-0.008941527,-0.000291276,-0.006044749,0.003494796,0.001660599
7/25/1991,0.006158013,0.008397048,0.006616728,0.000974778,0.005897938,0.008451837,0.007708228,0.008335609,0.006847962,0.00111576,0.006361345
7/26/1991,-2.32E-05,-0.003295348,-0.00161638,-0.004149384,-0.001811048,0.004688957,-0.000685824,-0.002194114,-0.000401526,0.009986213,0.005186274
7/29/1991,0.005982302,0.00302115,0.007387046,0.011309174,0.001961821,0.014901474,0.002056063,0.006689928,0.00066912,0.001654716,0.009293047
7/30/1991,0.009465926,0.010367028,0.015007918,0.010704294,0.008108153,0.011720965,0.009946264,0.004639076,0.009320973,0.002202038,0.002372184
7/31/1991,0.002915653,0.002575051,0.005914455,-0.001077264,0.009229003,0.006861996,0.000135566,-0.000425753,0.002118364,0.005620688,-0.005251325
8/1/1991,-0.001730144,-0.002982244,0.000785958,0.001316498,0.002072233,0.000525901,-0.004891979,0.009142216,-0.007300756,-0.010720279,-0.006035477
8/2/1991,0.000296158,-0.001358511,0.003398696,-0.006599892,-0.001924074,0.005766726,-0.000954003,-0.001550896,-0.00306892,0.005099591,0.007413491
8/5/1991,-0.00509244,-0.007231084,-0.001175165,-0.001807556,-0.003264582,-0.005661579,-0.00780238,-0.006564724,-0.011018655,-0.007866992,0.001126056
8/6/1991,0.014816769,0.016298065,0.02030461,0.015557997,0.014460928,0.013990623,0.011477104,0.012185859,0.013821085,0.014853801,0.009954045
